Image_name,image_url,alt_text,model,rating,reason
obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,No feeding activity is visible among the dark brown and reddish marine algae on the wet rocks.,gemini-2.5-flash,3,
obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,A seagull feeds on a starfish on a wooden deck.,gemini-2.5-flash,2,The seagull and starfish are separate; the gull is not actually feeding on the starfish.
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,"A dark, curved leech feeds on the side of a pale fish.",gemini-2.5-flash,3,
obs_188731534_photo_330410184,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,"An insect larva feeds within the reddish, hollowed interior of a brown plant gall.",gemini-2.5-flash,2,"No larva is clearly visible feeding; the interior appears empty/hollowed, making the feeding claim uncertain."
obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,A dark land planarian feeds on a snail.,gemini-2.5-flash,3,
obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,A sea anemone feeds on a large pale fish.,gemini-2.5-flash,3,
obs_195713651_photo_344383957,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,A dark flatworm engulfing a mottled brown slug.,gemini-2.5-flash,3,
obs_220102252_photo_389649357,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,The fuzzy insect is not feeding on the green leaf.,gemini-2.5-flash,1,Negative statement doesn't describe a feeding relationship as prompted.
obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,"A grey bird stands in shallow water, feeding on a reddish sea slug.",gemini-2.5-flash,2,"The reddish object appears to be a snail/shell, not a sea slug, and no feeding action is clearly visible."
obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,A translucent nudibranch with brown markings feeds on a colony of orange-rimmed sea squirts.,gemini-2.5-flash,3,
obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,"A translucent, segmented arthropod curled around and feeding on green plant leaves.",gemini-2.5-flash,3,
obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,"Translucent fungal mycelium appears to be feeding on a textured, granular surface.",gemini-2.5-flash,2,"Uncertain/vague (""appears to be""); feeding relationship is speculative and not clearly shown."
obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,A seagull swallowing a purple starfish.,gemini-2.5-flash,3,
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,An orange slug is feeding on a brown moth on a green stem.,gemini-2.5-flash,1,"The image shows a butterfly/moth on a stem, not a slug feeding on a moth; the feeding relationship is hallucinated."
obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,A reddish-brown centipede feeds on a dark ant on mossy ground.,gemini-2.5-flash,2,Feeding interaction and ant prey are not clearly visible; likely inaccurate.
obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,Insect larvae feeding inside white galls on a green leaf.,gemini-2.5-flash,2,"Larvae aren't visible; feeding is inferred, not shown as in the prompt examples."
obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,This image does not depict any organisms feeding on others.,gemini-2.5-flash,1,No feeding activity shown; only shell fragments and a coin on sand.
